Words,anger,disgust,fear,joy,sad,surprise
bb star jackson denies goody comments,0.4118,0.4706,0,0,0,0.1176
horse teeth give details of ancient big chill,0,0,0.1319,0.1429,0.0549,0.6703
costner appeals in casino wrangle,0.7534,0,0,0,0.2055,0.0411
ancient coin shows cleopatra was no beauty,0,0,0,0,0,1
bear cub returned to the wilderness,0,0,0.0435,0.7826,0,0.1739
software giant sap misses target,0,0,0.1408,0,0.6338,0.2254
hunters stalk world s tallest trees,0.1795,0,0.1282,0.1795,0.3846,0.1282
merriman violation stuns ex teammate,0.0769,0.1667,0.1154,0,0.1923,0.4487
singapore pampers its waterfront promenade,0,0,0,0.6984,0,0.3016
reunited police to start world tour in may,0,0,0,0.8478,0,0.1522
ice storm descends on central u s,0.033,0,0.6374,0.1099,0.1429,0.0769
iran warns will hit back at us if attacked,0.3558,0.0798,0.362,0,0.1411,0.0613
township tourism booming in south africa,0,0,0,0.7193,0,0.2807
howard presses bush on terror suspect,0.1339,0.0536,0.4286,0.1071,0.125,0.1518
palestinian factions to resume talks,0,0,0,0.5942,0.029,0.3768
psych checks reviewed after astronaut s crack up,0.0208,0,0.1771,0.0208,0.4583,0.3229
african americans are organ donors these days but what about bone marrow,0,0,0.2188,0.2031,0.1875,0.3906
german chief forges accord on financing health care,0,0,0,0.6875,0,0.3125
venezuela iran fight u s dominance,0.4478,0.0896,0.1791,0.1194,0.1269,0.0373
space com black hole triplets spotted,0,0,0.0704,0.0563,0,0.8732
archaeologists find signs of early chimps tool use,0,0,0.0225,0.2584,0,0.7191
king and queen reign at british film awards,0,0,0,0.6974,0,0.3026
far away super bowl s losers will be champs,0,0,0,0.7568,0.2027,0.0405
survey tech a tool in teen dating abuse,0.0654,0.215,0.0935,0.0561,0.4019,0.1682
south africa mourns adelaide tambo,0,0,0,0,0.9157,0.0843
google to unveil election mashup,0,0,0,0.3846,0,0.6154
really the claim the back seat of a car is the safest place to sit,0,0,0.0822,0.3151,0,0.6027
miss brazil wins lawsuit competition,0,0,0.0706,0.6824,0,0.2471
see if your city is one of the united states top fittest or fattest,0.0633,0.0886,0.1646,0.1392,0.1392,0.4051
panda cub makes her debut,0,0,0,0.8939,0,0.1061
perfect lives lose their focus,0,0,0.082,0.5574,0.2623,0.0984
beckham goal helps real snatch win,0,0,0,0.8154,0,0.1846
eu document iranian bomb unstoppable,0.1008,0,0.5042,0,0.2353,0.1597
wii news for gamers,0,0,0,0.5733,0,0.4267
scientist snoops in astronauts journals,0.0541,0.4054,0.1216,0.0541,0.1081,0.2568
storm causes slick icy roads,0.0282,0.0563,0.5493,0,0.2958,0.0704
personal health for teenagers the car is the danger zone,0,0.0206,0.4845,0,0.2165,0.2784
catholic archbishop outlines anglican merger hopes,0,0,0,0.5778,0,0.4222
champion murray too good for kim,0,0.1818,0,0.3636,0.1364,0.3182
christian values guide dungy and the colts,0,0,0,0.675,0,0.325
tropical storm paul s outer bands hit mexico s baja california,0.1524,0,0.3048,0,0.5429,0
iraqi health minister seized in raid,0.1569,0.0588,0.1961,0.098,0.2418,0.2484
hicks first in line for trial bush says,0.1957,0.0435,0.2609,0.0217,0.2609,0.2174
prehistoric lovers found locked in eternal embrace,0,0,0,0.4286,0.1143,0.4571
judge threatens to shut down air india inquiry,0.5169,0.0225,0.1573,0,0.1798,0.1236
bird watchers flock to see rare owl,0,0,0,0.5698,0,0.4302
photographer kidnapping condemned,0.2956,0.3459,0,0.1321,0.2075,0.0189
melua s deep sea gig sets record,0,0,0,0.9,0,0.1
pound will not drop armstrong case,0.3,0,0.1333,0.1667,0.1,0.3
three drivers had reason to be proud in brazil,0,0,0,1,0,0
female astronaut sets record,0,0,0,0.7614,0,0.2386
scam lures victims with free puppy offer,0.1359,0.2136,0.1068,0.0291,0.1942,0.3204
violence continues at disputed holy site,0.2981,0.0192,0.2981,0,0.3654,0.0192
google executive acts as goodwill envoy,0,0,0,0.6329,0,0.3671
who are you calling fat,0,0.5714,0,0,0.4286,0
fda revises label warnings on the antibiotic ketek,0.117,0.0532,0.2021,0.3617,0.0851,0.1809
ex virginia gov not running for president,0,0,0,0,0,1
thousands rally in lebanon,0.2,0.0696,0.3913,0,0.1652,0.1739
allmendinger joining toyota team in nascar,0,0,0,0.7705,0,0.2295
iraqi sunni lands show new oil and gas promise,0,0.0676,0.1081,0.6622,0,0.1622
game on london exhibition celebrates the history of video games,0,0,0,0.9211,0,0.0789
james brown s partner can get her things,0,0,0.0606,0.6364,0.1818,0.1212
apple trademark dispute settled,0.2,0,0,0.5333,0.1,0.1667
russia plans major military build up,0.1517,0.0843,0.4213,0.0955,0.1236,0.1236
asian nations urge myanmar reform,0,0,0,0.4722,0,0.5278
kathmandu first snow in years,0.0179,0.0179,0.1071,0.0357,0.1339,0.6875
iraqi sunni lands show new oil and gas promise,0.051,0.0714,0.1735,0.4898,0,0.2143
accord on north korea is announced,0,0,0.0649,0.7792,0,0.1558
peru leader questioned in massacre probe,0.2295,0.1393,0.1557,0.1148,0.2459,0.1148
cher auction fetches double pre sale estimates,0,0,0,0.6818,0,0.3182
new gadgets galore at tech show,0,0,0,0.6143,0,0.3857
anna nicole smith s bahamas home seized,0.0235,0.0588,0.1059,0.0118,0.5765,0.2235
hackers strike at key internet servers,0.2774,0.1679,0.2628,0,0.1314,0.1606
israel says hopes to keep lebanon border calm,0.1087,0.0435,0.2174,0.4239,0.0435,0.163
sunshine goydos wins sony open,0,0,0,0.8824,0,0.1176
ps pricey but impressive,0,0.0175,0,0.7719,0,0.2105
fortune india the superpower think again,0,0.0222,0.1333,0.2444,0.0889,0.5111
friendly fire pilot experienced,0.0366,0.0854,0.3902,0,0.1707,0.3171
male sweat raises female hormones,0,0.1505,0,0.2258,0,0.6237
plo ministers agreed upon in mecca,0,0,0.1404,0.6491,0,0.2105
rescued boys parents hail miracle,0,0,0.0991,0.6577,0.0901,0.1532
peretz orders idf to respond with force to north border attacks,0.3586,0.0483,0.3448,0,0.1862,0.0621
scientists create first cloaking device,0,0,0,0.5,0,0.5
howell takes one shot lead in sony open,0,0,0,0.8545,0,0.1455
here is some advice to take to heart,0,0,0,0.4138,0,0.5862
u s to allow iraqi refugees,0.044,0,0.1319,0.3626,0.1538,0.3077
vital signs hazards antidepressant linked to fractures in older people,0.0417,0,0.2167,0,0.2833,0.4583
unilever group names new chairman,0,0,0.0541,0.7838,0,0.1622
allied with democrats lieberman easily aligns with republicans,0.0781,0.25,0,0,0.2656,0.4063
bush insists troops stay in iraq predicts midterm victory,0.1921,0.2938,0.2599,0.0339,0.2203,0
how to prevent iraq from getting even worse,0.1824,0.2294,0.3941,0,0.1941,0
bears fan loses bet and changes name,0.0299,0.194,0,0.0299,0.2537,0.4925
kuerten returns to winners circle,0,0,0,0.7069,0,0.2931
a small part of the brain and its profound effects,0,0,0.2791,0.0233,0.1395,0.5581
samba school leader killed before rio carnival,0.0818,0,0.2138,0.0252,0.522,0.1572
cutting through the clutter to get things done,0,0.0536,0.1607,0.375,0.1607,0.25
madrid bombings trial begins,0.0077,0,0.3538,0.2615,0.2769,0.1
snow causes airport closures in britain,0.0465,0,0.3953,0,0.5,0.0581
university offers support to new orleans school,0,0,0,0.7297,0,0.2703
talks begin on somalia peacekeepers,0.068,0.0097,0.1165,0.5534,0.1165,0.1359
eight years for damilola killers,0.2222,0.1345,0.1696,0.2047,0.2515,0.0175
official laughs for borat,0.2286,0.2095,0,0.3238,0.2381,0
loving with all your brain,0,0,0,0.4444,0,0.5556
new iraq terror tape calls for abducting foreigners,0.1814,0.1716,0.4657,0,0.1814,0
congolese soldiers riot loot over pay issue,0.3416,0.1056,0.2857,0,0.2671,0
equipment on plane in brazil collision may have been faulty,0.2103,0.1416,0.1974,0,0.2876,0.1631
cuban official web a wild colt,0,0,0.5143,0,0.2286,0.2571
sony hates europeans will prevent the importing of ps,0.5313,0.125,0,0,0,0.3438
committee debates cancer vaccine plan,0.0423,0,0.1408,0.2113,0.1549,0.4507
cleric said to lose reins over part of iraqi militia,0.226,0.226,0.226,0,0.2603,0.0616
experts fear likely shackled boy,0,0,0.5938,0,0.2708,0.1354
afghan poppy war alienates farmers,0.1087,0,0.3587,0,0.4674,0.0652
kentucky seeks alcohol huffing ban,0.0488,0.0488,0.2073,0.3902,0,0.3049
russian ship sinks in pacific,0.0818,0,0.2091,0,0.6,0.1091
waste plant fire forces to evacuate,0.194,0.0448,0.2239,0.0448,0.4925,0
students lose their rite of passage,0,0,0,0,1,0
russia warns us against missile bases in east europe,0.4211,0.114,0.4649,0,0,0
more human remains found at ground zero,0.2407,0.1358,0.037,0,0.4198,0.1667
google buys youtube for bn,0,0,0,0.2321,0,0.7679
with youtube grad student hits jackpot again,0,0,0,0.6316,0,0.3684
u s at odds with cleric s aide,0.1864,0.0339,0.4576,0,0.1864,0.1356
edwards campaign blogger quits amid catholic controversy,0.08,0.0933,0.1333,0.0133,0.24,0.44
salt lake city mall shooter was teenager,0.1014,0.0072,0.1377,0,0.3913,0.3623
inter milan set serie a win record,0.0328,0,0,0.8197,0,0.1475
iraqi suicide attack kills two us troops as militants fight purge,0.16,0.0914,0.3086,0,0.3943,0.0457
italy to try us soldier for agent s iraq death,0.4961,0.0543,0.0155,0.062,0.2946,0.0775
life in gaza steadily worsens,0.1111,0.085,0.3464,0,0.4575,0
utah gunman survived srebrenica,0.1061,0.1364,0.1515,0.2273,0.1818,0.197
test cricketer jailed over killing,0.2645,0.1157,0.1818,0.0661,0.3058,0.0661
united finds good connection in win,0,0,0,0.913,0,0.087
opportunity knocks on geologist s dream crater,0,0,0,0.8125,0,0.1875
turkmenistan votes for president,0,0,0,0.75,0,0.25
ottawa must redefine terror,0,0,0.8684,0,0.1316,0
morrissey may cheer up eurovision,0,0,0.0274,0.8356,0,0.137
youtube yields surprising payback,0,0,0,0.4301,0,0.5699
isinbayeva sets th world record,0,0,0,0.69,0,0.31
virtual american idol hits right notes,0,0,0,0.6377,0,0.3623
astronaut may have buckled under stress,0,0,0.2471,0,0.5059,0.2471
putin u s force fostering nuke ambitions,0.2872,0,0.4574,0,0.1383,0.117
troops massing around somali town,0.1606,0,0.6423,0,0.1971,0
royal seeks to revive french bid,0,0,0,0.8421,0,0.1579
search on for victims of subway collapse,0.0238,0,0.246,0.0238,0.6984,0.0079
republicans plan to block iraq debate,0.4959,0.1405,0,0,0.3058,0.0579
dad locked up son watched on tv police say,0.0727,0.4182,0,0,0.5091,0
mother daughter stabbed near school,0.0318,0.0255,0.3121,0,0.4713,0.1592
trolley square shooting leaves dead including gunman,0.069,0,0.3276,0,0.5,0.1034
defense to challenge russert s credibility,0.1429,0.1786,0,0,0,0.6786
wilkinson sets record in tame win,0,0,0,0.76,0,0.24
ingredient in male sweat raises women s hormone levels,0,0.1446,0,0.2048,0,0.6506
iran reneges on nuclear payments to russia,0.2442,0.1628,0.3488,0,0.0698,0.1744
nasa revisiting life on mars question,0,0,0,0.4182,0,0.5818
sights and sounds from ces,0,0,0,0.8095,0,0.1905
oracle world opens with dell unveiling amd powered computers,0,0,0,0.7179,0,0.2821
experts offer advice on salmonella,0,0,0.434,0.4528,0.0377,0.0755
stinky flower mystery solved,0,0.0781,0,0.6094,0.0156,0.2969
in the rockies pines die and bears feel it,0.12,0.05,0.22,0,0.45,0.16
beyonce in a bikini as si s swimsuit cover model,0.087,0.087,0.0435,0.5217,0.1087,0.1522
seahawks qb hasselbeck out weeks,0,0,0,0.1277,0.6596,0.2128
oil holds at,0.1026,0,0.0769,0.3077,0.2564,0.2564
three found alive from missing russian ship report,0,0,0.0331,0.4967,0.0927,0.3775
confusion reigns in the expanding digital world,0.1622,0,0.1622,0,0.1622,0.5135
doomsday clock ticking away,0,0,0.5513,0.2436,0.2051,0
italy drops sicily bridge plans,0,0,0,0,0,1
protest greets congestion charge s westward push,0.2623,0.1803,0.1475,0.2459,0.1311,0.0328
us airways boosts bid for delta,0,0.1786,0,0.3214,0.0357,0.4643
hurricane paul weakens to tropical storm,0,0,0.3269,0.3173,0,0.3558
a familiar and prescient voice brought to life,0,0,0,0.7805,0,0.2195
male sweat boosts women s hormone levels,0,0.1474,0,0.0632,0,0.7895
iran rejects us claims of supplying weapons in iraq,0.2389,0.1327,0.3009,0.0885,0.1593,0.0796
israel insists on lebanon overflights,0.3645,0.2897,0.0374,0,0.3084,0
gere cheers sex workers in aids fight,0.0128,0.1026,0.1282,0.4359,0.0897,0.2308
tv game shows go interactive,0,0,0,0.8462,0,0.1538
china detains after body parts found in mail,0.0316,0.2789,0.3789,0.0789,0.1105,0.1211
amish discuss shootings,0.0541,0.0135,0.3784,0,0.4189,0.1351
anna nicole claimant a prince of a guy,0,0,0,0.02,0.44,0.54
jones faces europe meetings snub,0.0952,0.0476,0.1429,0,0.5,0.2143
models health guidelines will they help,0,0,0.1458,0.2292,0.125,0.5
s jack bauer returns,0,0,0,0.9302,0,0.0698
uk announces immigration restrictions,0.236,0.2247,0.2191,0,0.2303,0.0899
commodities lead europe higher,0,0,0,0.8,0,0.2
iran says sunnis using pakistan as base planned fatal bombing,0.1329,0.0629,0.5804,0,0.1119,0.1119
asean talks end on energy security,0,0,0,0.7333,0.2667,0
norbit a waste of murphy,0,0.2353,0,0,0.5882,0.1765
petraeus takes command in iraq,0.1897,0.0862,0.3621,0.1379,0.0862,0.1379
merck gardasil may fight more strains,0.1139,0,0.2405,0.2658,0.1772,0.2025
anna nicole smith s body lies in legal limbo,0,0,0,0,0.7907,0.2093
terror officials see al qaeda chiefs regaining power,0.1008,0.0853,0.6667,0,0.124,0.0233
iran says it will strike us interests if attacked,0.2955,0.0739,0.3807,0,0.125,0.125
ashton kutcher tells secret to ryan seacrest,0,0,0,0.4211,0,0.5789
women protest pakistan demolition,0.2727,0.197,0.0985,0,0.197,0.2348
review ps pricey but impressive,0,0,0,0.7455,0.0909,0.1636
j k rowling marks spot of potter s end,0,0,0.0308,0.0923,0.5538,0.3231
sudan tells united nations envoy to leave in hours,0.1957,0,0,0,0.163,0.6413
salmonella outbreak traced to peanut butter,0.0367,0,0.6422,0,0.1468,0.1743
allen and okur get all star call,0,0,0,0.8043,0,0.1957
taliban seize rural district in southwest as police flee,0.18,0.08,0.34,0,0.2733,0.1267
pc world editor slain at california home,0.0897,0.0641,0.3269,0,0.4936,0.0256
israelis retaliate after attack by lebanese army,0.3117,0.0844,0.3442,0,0.2597,0
attack video saddens friendly fire widow,0.1083,0.0917,0.1333,0,0.6667,0
whether to save cord blood can be puzzle for parents,0,0,0.26,0.16,0,0.58
philippine anti terror law delayed until june,0.1809,0,0.3404,0,0.3404,0.1383
apple s dark secret the claim,0.1,0,0.1,0,0.225,0.575
spacewalker sets new u s record,0,0,0,0.7444,0,0.2556
france al qaeda suspects arrested,0.0696,0.0348,0.3739,0.2696,0.1043,0.1478
review nokia xpress music,0,0,0,0.8333,0,0.1667
sleep more to fight childhood obesity,0,0.0417,0.25,0.1667,0,0.5417
dead after utah mall shooting rampage,0.2034,0,0.2429,0,0.4294,0.1243
german paper shows soldiers desecrating skull,0.2638,0.4049,0.1043,0,0.227,0
japanese whaler afire in antarctic,0.1053,0.0921,0.1711,0,0.5263,0.1053
jet flips in snowstorm none dead,0,0,0.2679,0.3125,0.2589,0.1607
teacher in hiding after attack on islam stirs threats,0.1461,0.0225,0.427,0,0.4045,0
mistrial for officer who refused to go to iraq,0.2625,0.05,0.1625,0.1125,0.3375,0.075
rwanda mulling kid limit for families,0,0,0.0581,0.4186,0.1512,0.3721
man admits uk us terror bomb plot,0.1941,0.2529,0.3588,0,0.1941,0
deaths as bird flu flares in asia,0,0,0.5232,0,0.3974,0.0795
uk characters boosting box office,0,0,0,0.6321,0,0.3679
moscow says palestine israeli contacts key to mideast peace,0.0556,0.0278,0.0556,0.5139,0.2361,0.1111
sony apologizes for battery recall,0.0678,0.1356,0.0678,0.339,0.2203,0.1695
mass venezuela opposition rally,0.36,0,0.2,0.1867,0.04,0.2133
squirrel jumps boy in park rabies suspected,0.153,0.0219,0.3333,0,0.153,0.3388
marijuana helps ease hiv nerve pain study says,0,0,0.0744,0.2727,0.0992,0.5537
thousands line up to get late flu shots,0.0241,0,0.494,0.3012,0.0723,0.1084
king county offering some free flu vaccines,0,0,0.1047,0.5698,0.0581,0.2674
rig threat cargo ship towed ashore,0,0,0.4805,0.1299,0.2468,0.1429
new zealand unlikely to allow crippled japanese whaler,0.1486,0.0135,0.0676,0.1081,0.473,0.1892
england opt for bopara over loye,0,0,0,0.4167,0.1667,0.4167
kidnappers seize two in nigeria,0.1806,0.1097,0.4387,0,0.2452,0.0258
beyonce new si bikini cover girl,0,0.1026,0.0513,0.6667,0.1282,0.0513
more sleep healthier slimmer children,0,0,0,0.4563,0,0.5437
a shot in the arm,0,0,0.8154,0,0.1385,0.0462
lawmaker seeks ipod ban in crosswalks in new york,0.2075,0,0,0,0.0755,0.717
snow brings travel misery to england,0.0354,0.115,0.2389,0,0.5752,0.0354
opera canceled over a depiction of muhammad,0.0968,0,0,0,0.9032,0
anna nicole smith fans mourn in cyberspace,0.0375,0,0,0,0.875,0.0875
on myspace girls seek friends boys flirt,0,0.3226,0.0645,0.1935,0.0161,0.4032
india s famous landmark gets facelift,0,0,0,0.6579,0,0.3421
charlie sheen to become highest paid sitcom star,0.0429,0.0429,0,0.7714,0,0.1429
grey s betty scrubs get boost,0,0,0,0.8226,0,0.1774
fear hinders black marrow donation,0,0,0.4904,0,0.4038,0.1058
walters on trump poor pathetic man,0.2614,0.2841,0,0,0.3182,0.1364
photographer kidnapped in gaza,0.2402,0.2445,0.1747,0,0.2358,0.1048
a nap a day may keep the heart doctor away,0,0,0.0233,0.4651,0,0.5116
the troubling ending of the departed,0.1209,0.022,0.1648,0,0.3956,0.2967
beating leaves teen in coma,0.2404,0.071,0.1694,0,0.4481,0.071
stop cancer with a shot,0,0,0.0506,0.519,0.1139,0.3165
frantic call in ryan o neal case,0,0,0.3836,0,0.2055,0.411
sharks kill four people in dull year,0.0224,0,0.306,0,0.5,0.1716
cool millions for youtube founders,0,0,0,0.7882,0,0.2118
eight us soldiers killed in zabul helicopter crash,0.1064,0.1135,0.1277,0,0.6383,0.0142
flee plant fire,0.1974,0,0.5592,0,0.2434,0
colombia fm resigns after relatives arrests for militia links,0.1064,0.0851,0.2411,0.0993,0.2482,0.2199
us troops killed in october in iraq,0.2266,0.1921,0.202,0,0.3793,0
gunmen kill at iraqi tv station,0.1505,0.1667,0.371,0,0.3118,0
media cited for showing girls as sex objects,0.303,0.2727,0.0727,0.0848,0.1758,0.0909
shiite fighters arrested in crackdown iraq says,0.2024,0.0952,0.2619,0.1607,0.1786,0.1012
sudan urges un to replace its special envoy,0.3529,0.1765,0,0,0,0.4706
glamour and borat at golden globes,0,0.0759,0,0.7595,0,0.1646
making peace from victory over poverty,0,0,0.1124,0.7079,0.1798,0
jump reported in accidental drug overdose deaths,0.0242,0,0.1694,0,0.621,0.1855
swingers more common than most think,0,0.0536,0.0893,0.1429,0.1964,0.5179
go ahead take a nap science says,0,0,0,0.4937,0,0.5063
evacuees can return home after plant blast,0.0588,0,0.1373,0.5,0.1569,0.1471
deaths linked to flu vaccine,0.1947,0.0474,0.3,0,0.3474,0.1105
group video shows chopper go down,0.0763,0,0.2203,0,0.5085,0.1949
silly and substantial,0,0.3333,0,0.6667,0,0
planning seen in iraqi attacks on u s copters,0.1946,0.0134,0.3624,0,0.2483,0.1812
bernard matthews to lay off up to workers,0.102,0.068,0.1361,0,0.4354,0.2585
why gas follows oil up but not down,0.1228,0.1228,0.0877,0,0.1053,0.5614
deep regret for ex hp exec,0,0.08,0,0,0.8,0.12
heavy use of mobile phones can make men infertile scientists say,0,0,0.4583,0,0.1771,0.3646
malaysia launches tourism campaign,0,0,0,0.6667,0,0.3333
goetschl ends austrian win drought,0,0,0,0.9032,0,0.0968
u n force is treading lightly on lebanese soil,0,0,0.3636,0.2727,0.3636,0
breakup rings find new homes,0,0,0.0333,0.2833,0.5167,0.1667
on the job naps might cut heart risk,0,0,0.0449,0.4831,0,0.4719
porn star candidate campaigns on campus,0.2095,0.2432,0,0.1892,0.223,0.1351
mother lohan is doing great in rehab,0.0211,0,0.1053,0.4947,0.1789,0.2
police break up kosovo protests,0.3936,0,0.1064,0.2128,0.1809,0.1064
what newsom faces in aftermath of scandal,0.1818,0.2364,0.3636,0,0.1818,0.0364
apple revs up mac attacks on vista,0.061,0.3171,0.061,0.1463,0.1341,0.2805
dance movie takes over no,0,0,0,0.6022,0,0.3978
carphone warehouse s mixed signals,0.1429,0.1429,0,0,0,0.7143
beating poverty in a small way,0,0,0.1176,0.4706,0.4118,0
uk luxury maker burberry made in china,0,0.0294,0,0,0.0882,0.8824
second drop in cancer deaths could point to a trend researchers say,0,0,0.1059,0.4118,0.0588,0.4235
moderate drinking reduces men s heart attack risk,0,0.0374,0.243,0.486,0.0841,0.1495
study on the job naps might help heart,0,0,0.0233,0.5116,0,0.4651
weekly nielsen yvonne de carlo munsters star dead,0.0796,0,0.1416,0,0.6549,0.1239
france ends toxic alert at canadian embassy in paris,0,0,0.4337,0.4217,0,0.1446
some cocoa may improve brain blood flow,0,0,0,0.6339,0,0.3661
reid land deal under scrutiny,0.2,0,0,0,0.3,0.5
nasdaq fails in bid for lse,0,0.0175,0.0526,0,0.7193,0.2105
school ends football season after start,0,0,0,0,0.5,0.5
amateur rocket scientists reach for space,0,0,0,0.5714,0,0.4286
internet boom in china is built on virtual fun,0,0,0.0404,0.6364,0,0.3232
personal health the importance of knowing what the doctor is talking about,0,0,0.4828,0,0.3103,0.2069
what s behind the chopper crashes in iraq,0.0849,0,0.4811,0,0.3585,0.0755
victim gunman bought drink after shooting,0.1233,0.1781,0.1781,0,0.2055,0.3151
reclusive mockingbird author attends show,0,0,0,0.75,0,0.25
goodbye to girlhood,0,0,0.2,0,0.6,0.2
poison pill to swallow hawks hurting after loss to vikes,0,0.1404,0.4035,0,0.4561,0
north korea gets money and respect,0.0244,0,0.0488,0.5854,0.0488,0.2927
life on mars maybe we missed it,0,0.0444,0,0.2444,0.0667,0.6444
finally senate okays anti terror bill manila,0.0385,0,0.2179,0.5385,0.1538,0.0513
griffiths scorns withnail play,0.2222,0.6481,0,0.0741,0.0556,0
die in hour kashmir standoff,0.2451,0.1863,0.3039,0,0.2647,0
bernhard set to leave volkswagen,0.1507,0,0,0,0.5479,0.3014
victims of air india still wait for justice,0.3224,0.1118,0.0987,0,0.3553,0.1118
united hang on to six point lead,0,0,0.05,0.725,0.05,0.175
deputy health minister arrested in us iraqi raid,0.1356,0.0678,0.1441,0,0.4915,0.161
mardi gras rebound in the offing for new orleans,0.0244,0,0.0366,0.5732,0.0366,0.3293
free will now you have it now you don t,0.0656,0,0.2295,0,0.2623,0.4426
commentary minutemen have a right to be idiotic,0.7778,0,0,0.2222,0,0
army engineers say dam safe,0,0,0.169,0.6056,0,0.2254
global national major child porn ring bust,0.219,0.3048,0,0.2,0.1476,0.1286
siestas may cut heart disease risk,0,0,0.0444,0.6,0.0222,0.3333
u s keeps iran options open,0.1392,0.1013,0.2405,0.3544,0.0506,0.1139
press sees hope in mecca talks,0,0,0,0.7595,0.038,0.2025
a star dies a family feud is born,0.0916,0.1527,0.1145,0.1374,0.4733,0.0305
looking beyond the iphone,0,0,0.1379,0.3793,0,0.4828
two men killed by london tube train,0.0397,0.0331,0.2715,0,0.5232,0.1325
who s going to win at the grammys,0,0,0.0192,0.5962,0,0.3846
indonesian bird flu deaths hit,0,0,0.3625,0,0.5375,0.1
china s nightmare scenario,0,0,0.8025,0,0,0.1975
durant s success trumps the gators,0,0,0,0.8431,0,0.1569
greek police hunt embassy attackers,0.5393,0.0225,0.2472,0.0449,0.1461,0
sri lanka clashes kill troops,0.1721,0,0.2131,0,0.6148,0
wizardry at harvard physicists move light,0,0,0.0206,0.3196,0,0.6598
tests of drug to block h i v infection are halted over safety,0.0797,0.0145,0.3478,0.0507,0.2826,0.2246
singer on cowell glad he was mean,0,0.1176,0,0.5882,0.0588,0.2353
stinky but true men s sweat is made for love,0,0.1818,0.0202,0.2222,0,0.5758
one search does not fit all,0,0.1364,0,0,0.4091,0.4545
two detained in body parts mailing,0.0328,0.5,0.2459,0.0656,0.1148,0.041
slain amish girls laid to rest,0.1571,0.05,0.25,0,0.5429,0
israel admits using phosphorous shells in lebanon,0.2967,0.2582,0.033,0,0.3242,0.0879
memo from frankfurt germany relives s terror as seek release from jail,0.2134,0.0915,0.4634,0,0.2012,0.0305
lost s fox i m a liar and a cheat,0.1653,0.3884,0.1157,0,0.1488,0.1818
win a concert date with the police,0,0,0.1639,0.541,0.0984,0.1967
israeli bomblets plague lebanon,0.2596,0.2308,0.3221,0,0.1875,0
ballerina sparks anti fascist row,0.2446,0.1223,0.223,0.1223,0.1151,0.1727
small business owners find bush health plan appealing,0,0,0,0.8056,0,0.1944
black hole triplets spotted,0,0,0.1571,0.2429,0,0.6
blair says he regrets delays in british soldier s inquest,0.0455,0.0758,0.0152,0.1515,0.7121,0
stanford study warns of internet addiction,0,0.2708,0.4792,0,0.1875,0.0625
trains crash near thai resort town,0.0122,0,0.378,0,0.5488,0.061
us north korea signed nuclear memo,0,0,0.3333,0.5,0,0.1667
jakarta begins disinfection,0,0,0.2278,0.557,0.0759,0.1392
gps sneakers locate with press of a button,0,0.0175,0,0.386,0,0.5965
vietnamese bank plans ipo listing,0,0,0,0.7931,0,0.2069
cases when the simple solution is the right one,0,0,0,0.5556,0,0.4444
outdated baby food found on shelves,0.0789,0.3246,0.1228,0,0.2895,0.1842
kerry blasts escalation of misguided war,0.2933,0.1133,0.1933,0.1067,0.1867,0.1067
iraqis fault delayed u s plan in attack,0.272,0.152,0.232,0.016,0.136,0.192
stomp steps to no at box office,0,0,0,0.7595,0,0.2405
woman dies after water binge,0.0559,0.0186,0.1304,0,0.5714,0.2236
shareholders sue apple,0.4706,0.0882,0,0,0.2941,0.1471
trucks swallowed in subway collapse,0.08,0,0.28,0,0.57,0.07
two palestinians killed near fence,0.129,0.0452,0.2452,0,0.5613,0.0194
warioware wii make perfect fit,0,0,0,0.6923,0,0.3077
uk soldiers cleared of iraq abuse,0.0294,0.1471,0.0882,0.4853,0.0735,0.1765
eu condemns illegal cia flights,0.3462,0.1,0.1154,0.2077,0.1923,0.0385
call it serendipity a missing piece of washington s war tent is found,0.0204,0,0.0306,0.5306,0.0408,0.3776
mistrial declared in teacher student rape case,0.1943,0.2629,0.0857,0,0.2686,0.1886
bombers kill shoppers,0.2316,0.1368,0.3298,0,0.3018,0
bruce revells in upset,0.3889,0,0,0,0.3889,0.2222
excerpt politicians and the press,0,0.7857,0.2143,0,0,0
princess masako author no regrets,0,0,0,0.4167,0.125,0.4583
full details of the eu report on iran,0.1017,0,0.2373,0.2034,0.1864,0.2712
roddick murray score in san jose,0,0,0,0.7941,0,0.2059
china urges un action on n korea,0.3611,0.0417,0.4306,0,0,0.1667
u s warns north koreans about nuclear test,0.211,0,0.4312,0,0.3578,0
top general optimistic on iraq,0.2171,0.2326,0,0.2093,0.3411,0
three found alive from missing russian ship report,0,0,0.1489,0.4468,0.0691,0.3351
marine killed in fighting west of baghdad,0.2034,0,0.3729,0,0.4237,0
poetry prize awarded,0,0,0,0.8866,0,0.1134
housewives star marcia cross on bed rest,0,0,0.0889,0,0.5556,0.3556
mexican navy helps in hunt for u s engineer,0,0,0.125,0.5,0.1389,0.2361
pot smokers may avoid alzheimer s study says,0,0,0.05,0.125,0,0.825
turkish writers say efforts to stifle speech may backfire,0.3311,0.0743,0.3041,0.0541,0.2365,0
maggie gyllenhaal s globes babysitter mom,0,0,0,0.8919,0,0.1081
higley gonzalez lead in malaysia,0.0508,0.0678,0.0847,0.4237,0.1695,0.2034
